"ChoiceNm","ID","Set","cset","altij","Amount","MobilePd","Merged","Location","Vehicle","DayOfWek","Weekend","StrtTmHr","StayDrtn","AmountA","TmTClrwy","TmTPrdEn","FndMtrEx","FndMtrNP","FndClrwV","MtrExprd","MetrNtPd","ClrwyVlt","FrePrkng","APP","PrkngFrq","PrsnlAPD","PrfMblPy","CBDPrknR","time","Volume","Load","ZoneAPD","CpctyAdj","TrnvrAdj","IndxAdjs","choice","ChcNmOvr","ChocNmPd","ChcNmUnd","ChcNmUnp","LctnElzS","LctnAlcS","LctnTrbS","VehiclCr","VehiclUt","VehiclVn","VehclHvy","VhclOthr","DyOfWkMn","DyOfWkTs","DyOfWkWd","DyOfWkTh","DyOfWkFr","DyOfWkSt","DyOfWkSn","tmErlyMr","timMrnng","timeNoon","tmAftrnn","timEvnng","timeNght","tmMdnght","AmountDiff","OthrNtPd","NtPd","Paid"
3,950,950,4,2,2.5,0,0,1,1,6,1,16,125.05,4.79358333333333,1440,164.416666666667,0,0,0,6,2,0,0,0,0,0,0,0,5,16.3333333333333,4.16666666666667,0.256200396825397,7,2.33333333333333,59.5238095238095,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-2.29358333333333,2,0,FALSE
2,951,951,4,3,2.5,0,0,1,2,6,1,16,53.2333333333333,2.04061111111111,1440,141.55,0,0,0,0,2,0,0,0,0,0,0,0,5,16.3333333333333,4.16666666666667,0.256200396825397,7,2.33333333333333,59.5238095238095,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.45938888888889,2,0,TRUE
1,952,952,4,4,2.5,0,0,1,1,6,1,16,27.7833333333333,1.06502777777778,1440,140.866666666667,0,0,0,0,2,0,0,3.3,2,60.3333333333333,0,1,5,16.3333333333333,4.16666666666667,0.256200396825397,7,2.33333333333333,59.5238095238095,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.43497222222222,2,0,FALSE
2,953,953,4,3,2.5,0,0,1,1,6,1,16,63.3666666666667,2.42905555555556,1440,125.766666666667,0,0,0,0,2,0,0,3,1,163,0,0,5,16.3333333333333,4.16666666666667,0.256200396825397,7,2.33333333333333,59.5238095238095,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0709444444444398,2,0,TRUE
3,954,954,4,2,2.5,0,0,1,1,6,1,17,80.15,3.07241666666667,1440,111.75,0,0,0,6,2,0,0,0,0,0,0,0,5,16.3333333333333,4.16666666666667,0.256200396825397,7,2.33333333333333,59.5238095238095,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-0.57241666666667,2,0,FALSE
1,955,955,4,4,1.5,0,0,1,1,6,1,17,21.5333333333333,0.825444444444444,1440,107.983333333333,0,0,0,0,2,0,0,6.6,1,180,0,1,5,16.3333333333333,4.16666666666667,0.256200396825397,7,2.33333333333333,59.5238095238095,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.674555555555556,2,0,FALSE
3,956,956,4,2,1.5,0,0,1,1,6,1,17,74.5833333333333,2.85902777777778,1440,88.9666666666667,0,0,0,6,2,0,0,4,1,81,0,0,5,16.3333333333333,4.16666666666667,0.256200396825397,7,2.33333333333333,59.5238095238095,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-1.35902777777778,2,0,FALSE
2,957,957,4,3,2,0,0,1,1,6,1,18,46.6166666666667,1.78697222222222,1440,46.6166666666667,0,0,0,1,0,0,0,0,0,0,0,0,5,16.3333333333333,4.16666666666667,0.256200396825397,7,2.33333333333333,59.5238095238095,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.21302777777778,0,0,TRUE
3,958,958,4,2,1,0,0,1,1,6,1,18,37.4166666666667,1.43430555555556,1440,42.55,0,0,0,6,2,0,0,0,0,0,0,0,5,16.3333333333333,4.16666666666667,0.256200396825397,7,2.33333333333333,59.5238095238095,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-0.43430555555556,2,0,FALSE
2,959,959,4,3,1,0,0,1,1,6,1,18,27.85,1.06758333333333,1440,27.85,0,0,0,1,0,0,0,0,0,0,0,0,5,16.3333333333333,4.16666666666667,0.256200396825397,7,2.33333333333333,59.5238095238095,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-0.06758333333333,0,0,TRUE
2,960,960,4,3,0.5,0,0,1,1,6,1,18,21.2666666666667,0.815222222222222,1440,21.2666666666667,0,0,0,0,0,0,0,0,0,0,0,0,5,16.3333333333333,4.16666666666667,0.256200396825397,7,2.33333333333333,59.5238095238095,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-0.315222222222222,0,0,TRUE
